dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar10,resnet18,0.6,0.9,100,55.74,55.93
cifar10,resnet18,0.6,1,100,56.59,56.71
cifar10,resnet18,0.7,0.4,100,55.57,55.76
cifar10,resnet18,0.7,0.5,100,56.34,56.34
cifar10,resnet18,0.7,0.6,100,56.83,57.06
cifar10,resnet18,0.7,0.7,100,57.97,58.48
cifar10,resnet18,0.7,0.9,100,60.48,60.63
cifar10,resnet18,0.7,1,100,60.34,60.85
cifar10,resnet18,0.9,0.4,100,55.85,56.32
cifar10,resnet18,0.9,0.5,100,55.8,55.99
cifar10,resnet18,0.9,0.6,100,54.79,55.65
cifar10,resnet18,0.9,0.7,100,57.7,57.95
cifar10,resnet18,0.9,0.9,100,59.52,59.89
cifar10,resnet18,0.9,1,100,59.71,60.03
cifar10,resnet18,1,0.4,100,55.07,55.4
cifar10,resnet18,1,0.5,100,54.06,54.66
cifar10,resnet18,1,0.6,100,54.32,54.57
cifar10,resnet18,1,0.7,100,54.97,55.32
cifar10,resnet18,1,0.9,100,56.36,56.59
cifar10,resnet18,1,1,100,54.53,54.77
cifar10,alexnet,0.4,0.4,100,63.67,64.57
cifar10,alexnet,0.4,0.5,100,60.76,61.63
cifar10,alexnet,0.4,0.6,100,59.29,60.26
cifar10,alexnet,0.4,0.7,100,57.9,59.01
cifar10,alexnet,0.4,0.9,100,53.84,54.39
cifar10,alexnet,0.4,1,100,41.7,42.32
cifar10,alexnet,0.5,0.4,100,59.37,59.73
cifar10,alexnet,0.5,0.5,100,52.78,53.99
cifar10,alexnet,0.5,0.6,100,50.14,50.8
cifar10,alexnet,0.5,0.7,100,47.07,47.91
cifar10,alexnet,0.5,0.9,100,38.69,38.98
cifar10,alexnet,0.5,1,100,37.38,37.38
cifar10,alexnet,0.6,0.4,100,59.41,59.86
cifar10,alexnet,0.6,0.5,100,52.7,53.9
cifar10,alexnet,0.6,0.6,100,49.97,50.9
cifar10,alexnet,0.6,0.7,100,47.02,47.83
cifar10,alexnet,0.6,0.9,100,38.67,38.98
cifar10,alexnet,0.6,1,100,37.29,37.29
